sim_time_h,day,hour_of_day,bin_id,truck_id,delay_hours,message
5.386,1,5,BIN_R04,TRUCK_03,1.386,✅ BIN_R04 emptied by TRUCK_03 (total=1.39h | queue=0.00h | travel=1.14h)
6.066,1,6,BIN_C02,TRUCK_03,2.066,✅ BIN_C02 emptied by TRUCK_03 (total=2.07h | queue=0.00h | travel=1.82h)
6.311,1,6,BIN_I02,TRUCK_03,2.311,✅ BIN_I02 emptied by TRUCK_03 (total=2.31h | queue=0.00h | travel=2.06h)
7.915,1,7,BIN_C01,TRUCK_03,1.915,✅ BIN_C01 emptied by TRUCK_03 (total=1.92h | queue=0.00h | travel=1.67h)
8.721,1,8,BIN_I01,TRUCK_02,1.721,✅ BIN_I01 emptied by TRUCK_02 (total=1.72h | queue=0.00h | travel=1.47h)
10.489,1,10,BIN_R02,TRUCK_02,1.489,✅ BIN_R02 emptied by TRUCK_02 (total=1.49h | queue=0.00h | travel=1.24h)
10.768,1,10,BIN_C03,TRUCK_02,1.768,✅ BIN_C03 emptied by TRUCK_02 (total=1.77h | queue=0.00h | travel=1.52h)
13.526,1,13,BIN_R01,TRUCK_01,1.526,✅ BIN_R01 emptied by TRUCK_01 (total=1.53h | queue=0.00h | travel=1.28h)
15.463,1,15,BIN_C01,TRUCK_03,1.463,✅ BIN_C01 emptied by TRUCK_03 (total=1.46h | queue=0.00h | travel=1.21h)
15.665,1,15,BIN_C02,TRUCK_03,1.665,✅ BIN_C02 emptied by TRUCK_03 (total=1.66h | queue=0.00h | travel=1.41h)
15.874,1,15,BIN_R03,TRUCK_03,1.874,✅ BIN_R03 emptied by TRUCK_03 (total=1.87h | queue=0.00h | travel=1.62h)
17.793,1,17,BIN_P03,TRUCK_03,2.793,✅ BIN_P03 emptied by TRUCK_03 (total=2.79h | queue=0.46h | travel=2.08h)
18.483,1,18,BIN_I02,TRUCK_02,2.483,✅ BIN_I02 emptied by TRUCK_02 (total=2.48h | queue=0.00h | travel=2.23h)
21.536,1,21,BIN_P02,TRUCK_01,2.536,✅ BIN_P02 emptied by TRUCK_01 (total=2.54h | queue=0.00h | travel=2.29h)
21.831,1,21,BIN_C03,TRUCK_02,1.831,✅ BIN_C03 emptied by TRUCK_02 (total=1.83h | queue=0.00h | travel=1.58h)
28.921,2,4,BIN_C01,TRUCK_03,0.921,✅ BIN_C01 emptied by TRUCK_03 (total=0.92h | queue=0.00h | travel=0.67h)
29.601,2,5,BIN_I01,TRUCK_03,1.601,✅ BIN_I01 emptied by TRUCK_03 (total=1.60h | queue=0.00h | travel=1.35h)
29.613,2,5,BIN_C02,TRUCK_03,1.613,✅ BIN_C02 emptied by TRUCK_03 (total=1.61h | queue=0.00h | travel=1.36h)
30.626,2,6,BIN_R04,TRUCK_03,1.626,✅ BIN_R04 emptied by TRUCK_03 (total=1.63h | queue=0.00h | travel=1.38h)
34.086,2,10,BIN_R02,TRUCK_03,1.086,✅ BIN_R02 emptied by TRUCK_03 (total=1.09h | queue=0.00h | travel=0.84h)
34.722,2,10,BIN_C03,TRUCK_03,1.722,✅ BIN_C03 emptied by TRUCK_03 (total=1.72h | queue=0.00h | travel=1.47h)
