sim_time_h,day,hour_of_day,event_type,bin_id,fill_level,truck_id,delay_hours,message
0.0,1,0,FILL_UPDATE,BIN_C01,28.75,,,
0.0,1,0,FILL_UPDATE,BIN_C02,63.9,,,
0.0,1,0,FILL_UPDATE,BIN_C03,13.02,,,
0.0,1,0,FILL_UPDATE,BIN_R01,42.7,,,
0.0,1,0,FILL_UPDATE,BIN_R02,56.47,,,
0.0,1,0,FILL_UPDATE,BIN_R03,21.47,,,
0.0,1,0,FILL_UPDATE,BIN_R04,71.9,,,
0.0,1,0,FILL_UPDATE,BIN_I01,30.95,,,
0.0,1,0,FILL_UPDATE,BIN_I02,46.59,,,
0.0,1,0,FILL_UPDATE,BIN_P01,15.64,,,
0.0,1,0,FILL_UPDATE,BIN_P02,36.59,,,
0.0,1,0,FILL_UPDATE,BIN_P03,51.03,,,
1.0,1,1,FILL_UPDATE,BIN_C01,31.45,,,
1.0,1,1,FILL_UPDATE,BIN_C02,66.0,,,
1.0,1,1,FILL_UPDATE,BIN_C03,15.67,,,
1.0,1,1,FILL_UPDATE,BIN_R01,44.09,,,
1.0,1,1,FILL_UPDATE,BIN_R02,58.21,,,
1.0,1,1,FILL_UPDATE,BIN_R03,23.72,,,
1.0,1,1,FILL_UPDATE,BIN_R04,73.77,,,
1.0,1,1,FILL_UPDATE,BIN_I01,32.25,,,
1.0,1,1,FILL_UPDATE,BIN_I02,49.75,,,
1.0,1,1,FILL_UPDATE,BIN_P01,16.59,,,
1.0,1,1,FILL_UPDATE,BIN_P02,36.99,,,
1.0,1,1,FILL_UPDATE,BIN_P03,51.84,,,
2.0,1,2,FILL_UPDATE,BIN_C01,35.05,,,
2.0,1,2,FILL_UPDATE,BIN_C02,69.57,,,
2.0,1,2,FILL_UPDATE,BIN_C03,18.24,,,
2.0,1,2,FILL_UPDATE,BIN_R01,46.46,,,
2.0,1,2,FILL_UPDATE,BIN_R02,59.46,,,
2.0,1,2,FILL_UPDATE,BIN_R03,25.66,,,
2.0,1,2,FILL_UPDATE,BIN_R04,75.23,,,
2.0,1,2,FILL_UPDATE,BIN_I01,33.76,,,
2.0,1,2,FILL_UPDATE,BIN_I02,52.98,,,
2.0,1,2,FILL_UPDATE,BIN_P01,17.56,,,
2.0,1,2,FILL_UPDATE,BIN_P02,38.14,,,
2.0,1,2,FILL_UPDATE,BIN_P03,52.99,,,
3.0,1,3,FILL_UPDATE,BIN_C01,38.26,,,
3.0,1,3,FILL_UPDATE,BIN_C02,70.2,,,
3.0,1,3,FILL_UPDATE,BIN_C03,21.58,,,
3.0,1,3,FILL_UPDATE,BIN_R01,48.26,,,
3.0,1,3,FILL_UPDATE,BIN_R02,61.07,,,
3.0,1,3,FILL_UPDATE,BIN_R03,28.3,,,
3.0,1,3,FILL_UPDATE,BIN_R04,76.5,,,
3.0,1,3,FILL_UPDATE,BIN_I01,37.08,,,
3.0,1,3,FILL_UPDATE,BIN_I02,55.01,,,
3.0,1,3,FILL_UPDATE,BIN_P01,18.6,,,
3.0,1,3,FILL_UPDATE,BIN_P02,38.86,,,
3.0,1,3,FILL_UPDATE,BIN_P03,53.83,,,
4.0,1,4,FILL_UPDATE,BIN_C01,41.81,,,
4.0,1,4,FILL_UPDATE,BIN_C02,73.46,,,
